reference,Title,year,validate_results,contribute_to_academia,task_objective_group,task,se_task,se_activity,ml_task,research_focus,Datasets,Baselines,Metrics,Validation Methods,Ground Truth ,Reliablity_Summary,Relevance_Summary,Reliablity_Score,Relevance_Score,ground_truth_score,baseline_score,metrics_score,validation_score,datasets_score,ground_truth_note,baseline_note,metrics_note,validation_note,datasets_note,baseline
luo2022prcbert,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models,2022,3.0,3.0,4,Requirements Classification ,Requirements classification,software_requirements,generation,direct_solution + New Dataset (NFR-SO),"PROMISE NFR, NFR-Review, NFR-SO","NoRBERT hey2020norbert, BERT-MLM, Trans\_PRCBERT","Precision, Recall, F1, Weighted F1, T-test","10-fold CV, repeated trials ","Human-annotated labels from PROMISE (Functional and 11 NFR subclasses), NFR-Review (5 NFR categories), and NFR-SO (7 NFR categories).","Diverse datasets and robust validation methods (cross-validation, T-tests) enhance the evaluation's robustness. The inclusion of newer datasets, such as NFR-SO, addresses the limitations of older datasets like PROMISE, which may not reflect contemporary requirements data and potential concept drift.","By incorporating NFR-SO, the evaluation overcomes the limitations of outdated datasets like PROMISE, addressing the evolution of requirements data over time. Evaluation tasks include binary, multi-class, and zero-shot classification, reflecting practical real-world scenarios. However, reliance on StackOverflow data limits direct applicability to industrial requirements.",3,3,1,1,1,1,1,Multi-category human annotations,Multiple BERT variant comparison,Multiple classification metrics,Cross-validation and statistics,Multiple requirements datasets,nan
el2023ai,"Which AI Technique Is Better to Classify Requirements? An Experiment with SVM, LSTM, and ChatGPT",2023,,,4,Requirements Classification ,Requirements classification,software_requirements,classification,existing_solution_evaluation,"PROMISE NFR, Dronology, ReqView, Leeds Library, WASP","SVM, LSTM, GPT-3.5, GPT-4 (zero/few-shot)",F$_\beta$-Score,Cross-dataset testing ,"Human-labeled requirements datasets (PROMISE, Dronology, ReqView, Leeds Library, WASP).","Metrics such as F$_\beta$-Score effectively address class imbalance, and cross-dataset testing provides insights into the evaluation’s generalization capabilities. The inclusion of diverse datasets enhances reliability by testing the evaluation approach across various real-world scenarios. Additionally, the selection of diverse baselines offers insights into the performance of different classifier categories, strengthening the evaluation's comprehensiveness. However, small dataset sizes limit statistical robustness.","The evaluation provides valuable insights into performance under different usage scenarios by comparing zero-shot and few-shot prompting approaches. Additionally, the use of diverse datasets strengthens the evaluation's ability to reflect real-world challenges in requirements classification. However, the small datasets constrain the breadth of generalization to broader industrial contexts.",3,4,1,1,1,1,1,Human-labeled requirements,Multiple paradigm comparison,Class-balanced metrics,Cross-dataset testing,Multiple domain datasets,nan
ezzini2022automated,Automated Handling of Anaphoric Ambiguity in Requirements: A Multi-Solution Study,2022,3.0,3.0,4,Ambiguity Detection,Anaphoric Ambiguity Detection,software_requirements,classification,existing_solution_evaluation,"DAMIR, ReqEval, CoNLL2011",None (standalone eval. with different config),"F2-Score, Success Rate","10-fold CV, external datasets ",Human expert annotations (ambiguity detection and antecedent labeling). DAMIR annotations were driven by inter-annotator agreement.,"Robust evaluation using diverse datasets, expert annotations, and metrics addressing class imbalance. Cross-validation and separate test splits enhance confidence in the evaluation's ability to generalize. However, reliance on manual annotation may limit scalability.","Prioritizing recall ensures ambiguous cases are flagged for review, which is crucial because missing these ambiguities in early project stages can lead to significant costs in later phases. Partial matching for resolution aligns with practical needs in real-world requirements engineering. Evaluation across a large set of industrial requirements provides strong insights into generalizability, though the inclusion of open-source datasets would have further strengthened the evaluation's ability to assess broader applicability. The absence of qualitative studies limits a deeper understanding of the evaluation's outcomes.",4,4,1,1,1,1,1,Expert annotations with agreement,"The study compares six alternative solutions across distinct paradigms: two SpanBERT-based models (fine-tuned on CoNLL2011 and RE-specific DAMIR datasets), three ML-based models (using linguistic features, embeddings from BERT/SBERT, and an ensemble of both), and one NLP coreference resolver-based solution (leveraging SpaCy and CoreNLP). This multi-paradigm evaluation extends beyond simple configuration comparisons, offering a comprehensive analysis across diverse techniques.",Recall-focused metrics,Cross-validation approach,Diverse dataset sources,"SpanBERT-based models, ML-based models (linguistic features), ML-based models (embeddings from BERT/SBERT), ML-based ensemble model, NLP coreference resolver (SpaCy), NLP coreference resolver (CoreNLP)"
moharil2022identification,identification of intra-domain ambiguity using transformer-based machine learning,2022,3.0,3.0,4,Ambiguity Detection,Intra-domain Ambiguity detection,software_requirements,classification,direct_solution,"Domain-Specific Corpus, Multi-Domain Corpus",None (evaluated standalone),None (manual validation),Qualitative analysis ,No quantitative ground truth; relies on manual validation without inter-annotator agreement metrics or standardized annotation process.,"Lack of standardized validation metrics (e.g., cluster purity) and reliance on manual review without inter-annotator agreement affect reproducibility. Absence of baselines further reduces reliability.","Using a Wikipedia corpus reduces applicability to requirements engineering tasks, as it differs significantly from requirements documents in structure and specificity.",1,2,-1,-1,-1,-1,-1,No quantitative ground truth,No baseline comparison,No quantitative metrics,Qualitative analysis only,Non-requirements corpus,nan
moharil2023tabasco,TABASCO: A transformer based contextualization toolkit,2023,3.0,3.0,4,Ambiguity Detection,Anaphoric Ambiguity Detection,software_requirements,classification,direct_solution,"CS Domain Corpus, PURE dataset",None (evaluated standalone),None (manual inspection),Qualitative analysis ,Not applicable; evaluation is based on manual qualitative analysis without labeled data.,Manual qualitative analysis without quantitative metrics introduces subjectivity. Lack of inter-annotator agreement and baselines limits comparative context.,"The use of the PURE dataset enhances practical relevance. However, reliance on Wikipedia for the CS domain corpus may reduce applicability to real-world requirements documents, which often differ in structure and style. The lack of quantitative metrics and practitioner involvement limits the assessment's applicability to practical settings in requirements engineering.",2,3,-1,-1,-1,-1,-1,No labeled data validation,No baseline comparison,No quantitative metrics,Qualitative analysis only,Non-requirements corpus,nan
wang2020deep,A Deep Context-wise Method for Coreference Detection in Natural Language Requirements(detecting coreferent entities in natural language requirements),2022,3.0,3.0,4,Ambiguity Detection,Coreference detection,software_requirements,classification,direct_solution,Industry partner dataset (21 projects),None (evaluated standalone),"Precision, Recall, F1",10-fold CV ,Human-annotated labels reviewed by requirements engineers and project management teams (coreferent vs. non-coreferent pairs).,"Results are derived from an undersampled balanced dataset, obscuring the model's performance under natural class distributions. This undermines both reliability and real-world relevance.",Evaluation lacks alignment with real-world conditions due to reliance on a synthetic balanced dataset.,2,2,1,-1,1,1,-1,Expert-reviewed annotations,No baseline comparison,Standard classification metrics,Cross-validation approach,Evaluation on an undersampled dataset; lacks transparency regarding original class distribution,nan
ronanki2022chatgpt,ChatGPT as a tool for User Story Quality Evaluation: Trustworthy Out of the Box?,2023,3.0,3.0,4,Automated Requirements Evaluation,Requirement analysis and evaluation,software_requirements,classification,existing_solution_evaluation,Open-source user stories,AQUSA,"Agreement Rate, Precision, Recall, F1, Specificity",Three trials with one-shot prompting ,Double-blinded human evaluation,"Compares ChatGPT's outputs against human assessments (ground truth) and the AQUSA tool (baseline). GPT was prompted three times, but missing configuration details (e.g., temperature) hinder reproducibility. Small sample size (11 requirements), lack of inter-annotator agreement scores, and restriction to open-source projects limit robustness.","Provides practical insights into user story quality by assessing seven criteria. Specificity as a metric addresses trustworthiness by revealing whether ChatGPT tends to over-accept user stories as meeting quality criteria, mitigating risks of false positives. Reliance on open-source requirements limits generalizability, and the small sample size reduces applicability to diverse contexts. Absence of qualitative insights on real-world workflow impacts leaves room for improvement.",2,4,1,1,1,1,-1,Double-blind human evaluation,Single tool comparison,Multiple effectiveness metrics,Multiple trial evaluation,Small requirements sample,nan
lin2021traceability,traceability transformed: generating more accurate links with pre-trained bert models,2021,3.0,3.0,4,Requirements Traceability and Completeness,Requirement traceability,software_requirements,recommendation,direct_solution,"Flask, Pgcli, Keras","VSM, LDA, LSI, TraceNN","F1, F2, MAP@3, MRR, Precision@K","10-fold CV, ONS, DRNS ",Issue-commit links mined from commit messages using developer-embedded issue tags. Potential incompleteness acknowledged.,"Moderate to large-scale test sets from diverse application types (e.g., databases, web frameworks, neural networks) and comparisons with established baselines enhance validity. However, the evaluation is limited to open-source projects in Python, and potential incompleteness of mined links from commit messages may introduce bias.","Metrics like MAP@3 and F2 address practical needs—recall is critical in early stages of traceability to ensure all relevant links are identified. The reliance on open-source Python projects limits generalizability to other languages and industrial contexts, reducing the broader applicability of the evaluation.",3,4,-1,1,1,1,-1,Potential link incompleteness,Multiple technique comparison,Multiple ranking metrics,Cross-validation with variants,Limited to Python projects,nan
zhu2022enhancing,Enhancing Traceability Link Recovery with Unlabeled Data,2022,3.0,3.0,4,Requirements Traceability and Completeness,Traceability recovery,software_maintenance,recommendation,direct_solution,"Flask, Pgcli, Keras",TRACEFUN (variants),"F1, F2, MAP",5-fold CV ,Issue-commit links inherited from Lin et al. (2021); potential incompleteness acknowledged.,"Relies on the same mined datasets as \cite{lin2021traceability}, inheriting limitations such as potential bias from incomplete traceability links.","Metrics like F1 and F2 provide meaningful insights into ranking performance. However, using MAP without a cutoff reduces the emphasis on top-ranked results, limiting its alignment with practical traceability needs. The reliance on open-source datasets restricts insights into industrial contexts and other programming languages, similar to the limitations identified in \cite{lin2021traceability}.",3,3,-1,1,1,1,-1,Inherited potential incompleteness,Multiple variant comparison,Multiple ranking metrics,Cross-validation approach,Limited to specific projects,nan
poudel2023leveraging,Leveraging Transformer-based Language Models to Automate Requirements Satisfaction Assessment,2023,,,4,Requirements Traceability and Completeness,Requirement analysis and evaluation,software_requirements,classification,direct_solution,Five hierarchical datasets,Legacy IR-based chunking,"F2, MAP","5-fold CV, repeated trials ",Manually curated Requirements Traceability Matrices (RTMs).,"Evaluation uses five datasets from different application domains. Repeating experiments across five unique train-validation-test splits with varied seeds ensures consistent and robust results. However, the datasets are limited in size.","Metrics such as F2 prioritize recall, essential for identifying inaccuracies in requirement satisfaction in early project phases, particularly in safety-critical systems. MAP evaluates ranking quality, aligning well with real-world traceability and satisfaction assessment needs. ",3,4,1,1,1,1,-1,Manual RTM curation,Single baseline comparison,Recall-focused metrics,Cross-validation approach,Limited dataset size,nan
luitel2024improving,Improving Requirements Completeness: Automated Assistance through Large Language Models,2023,3.0,3.0,4,Requirements Traceability and Completeness,Code Example Recommendations,software_development,recommendation,direct_solution,PURE dataset (40 specs),"Three baselines: Most common words, TF-IDF, WordNet synonyms","Accuracy, Coverage, Precision, Recall","5-fold, Wilcoxon, A\textsuperscript{12, human eval ",Simulated incompleteness by withholding portions of requirements and using them as reference for missing terminology.,Diverse requirements datasets and cross-validation enhance reliability. Inter-annotator agreement supports evaluation consistency.,"Metrics like Accuracy and Coverage ensure completeness and precision, aligning with practical needs. Simulating incompleteness, however, may not fully represent real-world scenarios. Broader datasets and practitioner involvement could improve applicability.",3,3,1,1,1,1,-1,Simulated incompleteness validation,Multiple approach comparison,Multiple effectiveness metrics,Cross-validation and human eval,Limited specifications sample,nan
yang2022aspect,aspect-based api review classification: how far can pre-trained transformer model go?,2022,3.0,3.0,5,Program Specifications,Code review and software/code classification,software_maintenance,classification,existing_solution_evaluation,"4,522 Stack Overflow API sentences","Opiner, BERT-family, CostSensBERT","Weighted P/R/F1, MCC, AUC","10-fold CV, manual analysis",Manual labels (substantial agreement) ,"The evaluation uses a well-annotated dataset with substantial inter-annotator agreement, multiple metrics capturing different performance aspects, and a standard 10-fold cross-validation. Comparing various PTMs and Opiner across conditions (original vs. undersampled training data) helps confirm consistent performance patterns rather than relying on a single approach.","Metrics like Weighted F1, MCC, and Weighted AUC address class imbalance and reflect practical conditions often encountered in real-world requirements analysis tasks. The manual error analysis provides qualitative insights into model behavior, aligning the evaluation with real-world interpretability and utility.",4,4,1,1,1,1,1,High inter-annotator agreement,Multiple model comparison,Class-balanced metrics,Cross-validation and analysis,Well-annotated API dataset,nan
yang2023apidocbooster,APIDocBooster: An Extract-Then-Abstract Framework Leveraging Large Language Models for Augmenting API Documentation,2023,,,5,API Documentation and Augmentation,API documentation augment,software_development,generation,direct_solution,"APISumBench (4,344 sentences, 48 summaries)","SISE, DeepTip, LexRank, TechSumBot++","P/R/F1 for classification, ROUGE for summarization","Cross-/Within-API splits, Human review (Likert ratings)","Labeled sentences, Extractive summaries ","The evaluation employs a robust annotation process with substantial inter-annotator agreement and utilizes cross-API and within-API splits to assess model generalization across different APIs. Additionally, the combination of automatic metrics and human evaluations ensures robust and reproducible results. However, the exact number of samples manually reviewed in the human evaluation is not specified.","The evaluation strategy prioritizes Weighted Precision to address class imbalance, ensuring accurate identification of relevant API documentation sections, which is crucial for maintaining the quality and reliability of the augmented documentation. An acceptable level of Recall is maintained to ensure comprehensive coverage of relevant information. The high-quality ground truth, supported by substantial inter-annotator agreement, ensures that the evaluation accurately reflects necessary documentation attributes. Human evaluations focus on key attributes that align directly with the needs of the practitioner and ensure applicability to real-world documentation scenarios.",4,4,1,1,1,1,1,Strong inter-annotator agreement,Multiple technique comparison,Task-specific metrics,Cross-API validation,Comprehensive API dataset,nan
mandal2023large,large language models based automatic synthesis of software specifications,2023,2.0,3.0,5,Program Specifications,Software specification synthesis,software_design,classification,direct_solution,"SpecSyn (300 real specs, 3000 synthetic)",PracExtractor,"Precision, Recall, F1 Score",By software types and categories,Manually curated specs from diverse sources ,"The evaluation strategy is undermined by a lack of transparency in the creation and distribution of the non-specification (non-spec) class within the test set. The test set is small (250 samples) and predominantly synthetic, with a limited number of real specifications (likely 25), leading to a low confidence in reported metrics. Additionally, the ground truth is narrowly derived from API documentation rather than diverse real-world specification contexts. Missing details on annotation practices further detract from reliability.","While the evaluation focuses on Precision and Recall, which are critical for specification synthesis tasks, the reliance on synthetic data skews the applicability to real-world contexts. The dataset’s limited diversity, lack of integration with realistic artifacts such as requirements, and small size reduce its ability to generalize to real-world scenarios. These issues compromise the ability to assess how well the solution would perform in varied and complex environments.",2,3,-1,-1,-1,-1,-1,Limited real specifications,Single extractor comparison,Basic classification metrics,Limited validation approach,Predominantly synthetic data,nan
xie2023impact,Impact of Large Language Models on Generating Software Specifications,2023,,,5,Program Specifications,Specification generation,software_requirements,generation,existing_solution_evaluation,"Jdoctor (854), DocTer (2,876)","Jdoctor, DocTer","Accuracy, Precision, Recall, F1 Score","Leave-One-Out CV, Failure Analysis","Annotated datasets, corrected for semantic equivalence ","The evaluation demonstrates a robust methodology with extensive experiments across 15 state-of-the-art LLMs and two distinct datasets, supported by a manual review process to account for semantic equivalence in outputs. While the lack of transparency in the quantity and outcomes of manual reviews is a limitation, the inclusion of edge case analyses and the use of cross-validation with Few-Shot Learning (FSL) enhance reliability. However, more details on failure analysis and example selection would strengthen confidence.","The evaluation employs metrics directly tied to the task, such as Accuracy, Precision, Recall, and F1, and analyzes performance across multiple dimensions, including correctness and generalizability. The use of semantic retrieval and diverse prompt sizes reflects a focus on real-world applicability.",4,4,1,1,1,1,1,Semantic equivalence validation,Multiple tool comparison,Multiple effectiveness metrics,Cross-validation approach,Multiple validated datasets,nan
ma2024specgen,SpecGen: Automated Generation of Formal Program Specifications via Large Language Models,2024,,,5,API Documentation and Augmentation,Specification generation,software_requirements,generation,direct_solution,SV-COMP (265 Java); SpecGenBench (120); Defects4J (50 files),"Houdini, Daikon, AutoSpec, LLM","Verifier Calls, Passes, Success Rate, User Rating","Comparative study, User survey",Expert specs; Verification-guided benchmarks ,"Evaluation uses diverse datasets, including SV-COMP and SpecGenBench, alongside manually written ground truth specifications, enhancing rigor. The reliance on OpenJML, with known limitations, and lack of detail on expert annotation guidelines slightly impact reliability."," Metrics such as \textbf{Number of Verifier Calls}, \textbf{Success Probability}, and \textbf{User Ratings} directly assess efficiency, robustness, and usability. The datasets’ diversity supports evaluation across a wide range of scenarios, ensuring strong alignment with real-world applicability.",4,5,1,1,1,1,1,Expert specifications,Multiple tool comparison,Multiple effectiveness metrics,Comparative and user study,Diverse verification datasets,nan
endres2023formalizing,Formalizing Natural Language Intent into Program Specifications via Large Language Models,2023,,,5,Program Specifications,Specification formalization,software_requirements,generation,direct_solution,EvalPlus (164 Python problems); Defects4J (525 Java bugs),"TOGA, Daikon, GPT-family, StarChat","Accept@k, Bug-Completeness, Qualitative Analysis","Comparative study, Manual analysis","Expert-verified annotations, Test suite with code mutants ","Expert-verified annotations establish ground truth for correctness, supporting evaluation rigor. Benchmarks (EvalPlus and Defects4J) include diverse real-world examples, ensuring coverage across multiple programming languages and scenarios. However, potential overlap with LLM training data and limited diversity of certain ground-truth contexts reduce reliability.","Task-specific quantitative metrics, such as Accept@K and bug-completeness, effectively assess correctness and discriminative power of postconditions, directly addressing the task’s goal of detecting real-world bugs. The qualitative analysis categorizes generated postconditions into atomic and conjoined components, revealing patterns in correctness and bug-catching ability, making the findings applicable to practical debugging and runtime validation scenarios.",4,4,1,1,1,1,1,Expert-verified annotations,Multiple LLM comparison,Task-specific metrics,Comparative analysis,Multiple program datasets,nan
zhang2024experimenting,Experimenting a New Programming Practice with LLMs,2024,,,7,Requirements Elicitation and System Design,"Use cases generation, System desgin, Code generation","software_requirements, software_design, software_development",generation,direct_solution,"CAASD (72 software tasks, avg. 240 LoC/task)","ChatDev, MetaGPT","Pass Rate (\%), Token Cost","Manual testing, automatic testing",Reference use cases for functional requirements ,"The evaluation demonstrates robustness by introducing a novel benchmark (CAASD) with 72 tasks and human-in-the-loop validation for correctness. However, limited transparency regarding the origins of the 72 tasks and the process of creating the reference use cases raises concerns about task diversity and the ground-truth completeness. Additionally, the lack of details on tester backgrounds, user proficiency, and testing consistency further affects reliability. Despite these limitations, comparisons with baselines (ChatDev and MetaGPT) and the consistent application of quantitative measures enhance the robustness of the findings.","The evaluation employs task-specific and real-world metrics, such as pass rate for use case validation and token consumption for efficiency, effectively assessing the framework’s ability to complete practical software development tasks. Human engagement is quantitatively analyzed (e.g., number of revisions, pass rate improvements), showcasing its real-world applicability. However, aspects such as time improvement and perceived helpfulness of the tool were not assessed.",3,4,0,1,1,1,-1,Limited validation details,Multiple LLM tool comparison,Task-specific metrics,Manual and automatic testing,Limited task diversity,nan
kolthoff2023data,data-driven prototyping via natural-language-based gui retrieval,2023,3.0,3.0,7,Prototyping and GUI Retrieval,GUI retrieval,software_design,classification,direct_solution + New Evaluation Method,"Rico GUI dataset (57,764 GUIs), Crowdsourced Gold Standard (100 NL queries, top-20 GUIs/query)","TF-IDF, BM25, nBOW, PRF-KLD, Sentence-BERT","Precision@k, NDCG@k, MRR, HITS@k, Avg. Precision","Crowdsourced query creation, relevance annotations (AMT), user study (19 participants, real-world tasks)","GUI relevance annotations (3 independent workers/query, majority vote, filtered for quality) ","The evaluation employs rigorous methods, including the creation of a high-quality gold standard dataset with natural language queries generated by workers and relevance annotations by three independent annotators, ensuring reliability through inter-annotator agreement. A user study with 19 participants further validates the findings in real-world conditions, targeting novice developers as a key demographic. Experimental setups included measures to counterbalance order effects by randomizing task-tool assignments, ensuring fairness. However, some learning effects between tools might persist, and the relatively small participant pool slightly limits generalizability. Additionally, a user study effectively complements retrieval performance metrics (e.g., NDCG@k and HITS@k) with user effort metrics, such as the number of GUI components added, diversity, and correctness, highlighting both retrieval quality and practical prototyping efficiency.","The evaluation effectively assesses real-world applicability through metrics like NDCG@k and HITS@k for ranking quality, as well as user-perceived usefulness. The user study compares the proposed tool against a competitive baseline (Mockplus) under simulated real-world conditions, emphasizing the solution’s efficiency, usability, and perceived value. Productivity-focused metrics (e.g., number of GUI components added, diversity, and presence of irrelevant components) provide actionable insights into the tool’s effectiveness for prototyping tasks. However, concerns about dataset diversity and the lack of qualitative discussions on the correctness or completeness of final prototypes slightly temper its relevance.",4,4,1,1,1,1,1,High-quality crowdsourced annotations,Multiple retrieval baselines,Multiple ranking metrics,Comprehensive user study,Large-scale GUI dataset,nan
